RefId,IsBadBuy
73015,0.04
73016,0.045
73017,0.021
73018,0.168
73019,0.862
73020,0.074
73021,0.148
73022,0.119
73023,0.039
73024,0.76
73025,0.042
73026,0.783
73027,0.814
73028,0.047
73029,0.061
73030,0.024
73031,0.088
73032,0.079
73033,0.023
73034,0.056
73035,0.056
73036,0.06
73037,0.052
73038,0.106
73039,0.129
73040,0.009
73041,0.908
73042,0.029
73043,0.057
73044,0.056
73045,0.069
73046,0.038
73047,0.13
73048,0.101
73049,0.025
73050,0.029
73051,0.104
73052,0.986
73053,0.788
73054,0.021
73055,0.182
73056,0.045
73057,0.09
73058,0.145
73059,0.048
73060,0.097
73061,0.082
73062,0.022
73063,0.075
73064,0.016
73065,0.025
73066,0.023
73067,0.017
73068,0.03
73069,0.018
73070,0.007
73071,0.049
73072,0.056
73073,0.156
73074,0.037
73075,0.093
73076,0.064
73077,0.019
73078,0.1
73079,0.129
73080,0.106
73081,0.175
73082,0.056
73083,0.098
73084,0.15
73085,0.07
73086,0.179
73087,0.089
73088,0.053
73089,0.125
73090,0.147
73091,0.132
73092,0.034
73093,0.033
73094,0.058
73095,0.161
73096,0.051
73097,0.016
73098,0.054
73099,0.021
73100,0.039
73101,0.081
73102,0.051
73103,0.016
73104,0.916
73105,0.229
73106,0.03
73107,0.268
73108,0.033
73109,0.1
73110,0.066
73111,0.03
73112,0.203
73113,0.103
73114,0.084
73115,0.049
73116,0.093
73117,0.115
73118,0.099
73119,0.884
73120,0.886
73121,0.148
73122,0.155
73123,0.018
73124,0.194
73125,0.062
73126,0.218
73127,0.074
73128,0.14
73129,0.096
73130,0.024
73131,0.083
73132,0.136
73133,0.032
73134,0.223
73135,0.066
73136,0.073
73137,0.941
73138,0.121
73139,0.178
73140,0.916
73141,0.149
73142,0.131
73143,0.179
73144,0.054
73145,0.068
73146,0.178
73147,0.123
73148,0.058
73149,0.085
73150,0.073
73151,0.193
73152,0.041
73153,0.089
73154,0.247
73155,0.03
73156,0.019
73157,0.042
73158,0.035
73159,0.077
73160,0.956
73161,0.062
73162,0.829
73163,0.051
73164,0.13
73165,0.162
73166,0.084
73167,0.049
73168,0.021
73169,0.113
73170,0.026
73171,0.05
73172,0.084
73173,0.035
73174,0.059
73175,0.054
73176,0.075
73177,0.094
73178,0.095
73179,0.051
73180,0.058
73181,0.116
73182,0.052
73183,0.177
73184,0.056
73185,0.172
73186,0.096
73187,0.12
73188,0.085
73189,0.086
73190,0.135
73191,0.855
73192,0.856
73193,0.073
73194,0.212
73195,0.087
73196,0.036
73197,0.772
73198,0.02
73199,0.052
73200,0.125
73201,0.097
73202,0.772
73203,0.045
73204,0.036
73205,0.092
73206,0.065
73207,0.029
73208,0.049
73209,0.123
73210,0.102
73211,0.066
73212,0.025
73213,0.023
73214,0.043
73215,0.175
73216,0.107
73217,0.111
73218,0.08
73219,0.074
73220,0.167
73221,0.16
73222,0.085
73223,0.05
73224,0.08
73225,0.101
73226,0.055
73227,0.051
73228,0.089
73229,0.066
73230,0.067
73231,0.093
73232,0.917
73233,0.843
73234,0.094
73235,0.068
73236,0.124
73237,0.084
73238,0.036
73239,0.063
73240,0.078
73241,0.031
73242,0.052
73243,0.781
73244,0.04
73245,0.171
73246,0.927
73247,0.112
73248,0.034
73249,0.031
73250,0.042
73251,0.061
73252,0.069
73253,0.012
73254,0.087
73255,0.033
73256,0.076
73257,0.106
73258,0.129
73259,0.13
73260,0.147
73261,0.904
73262,0.146
73263,0.093
73264,0.134
73265,0.074
73266,0.036
73267,0.074
73268,0.061
73269,0.044
73270,0.073
73271,0.036
73272,0.939
73273,0.052
73274,0.082
73275,0.745
73276,0.135
73277,0.059
73278,0.059
73279,0.15
73280,0.076
73281,0.08
73282,0.154
73283,0.095
73284,0.196
73285,0.145
73286,0.805
73287,0.137
73288,0.058
73289,0.118
73290,0.101
73291,0.116
73292,0.02
73293,0.132
73294,0.084
73295,0.926
73296,0.148
73297,0.077
73298,0.078
73299,0.176
73300,0.055
73301,0.111
73302,0.167
73303,0.078
73304,0.051
73305,0.801
73306,0.902
73307,0.04
73308,0.214
73309,0.127
73310,0.237
73311,0.159
73312,0.224
73313,0.077
73314,0.077
73315,0.086
73316,0.894
73317,0.032
73318,0.096
73319,0.093
73320,0.038
73321,0.055
73322,0.035
73323,0.044
73324,0.742
73325,0.817
73326,0.832
73327,0.031
73328,0.054
73329,0.039
73330,0.077
73331,0.076
73332,0.032
73333,0.117
73334,0.096
73335,0.03
73336,0.22
73337,0.051
73338,0.076
73339,0.842
73340,0.795
73341,0.151
73342,0.114
73343,0.06
73344,0.039
73345,0.072
73346,0.046
73347,0.081
73348,0.186
73349,0.862
73350,0.033
73351,0.079
73352,0.015
73353,0.699
73354,0.033
73355,0.079
73356,0.054
73357,0.067
73358,0.107
73359,0.035
73360,0.171
73361,0.087
73362,0.031
73363,0.064
73364,0.047
73365,0.029
73366,0.03
73367,0.065
73368,0.138
73369,0.034
73370,0.029
73371,0.024
73372,0.018
73373,0.053
73374,0.535
73375,0.053
73376,0.27
73377,0.222
73378,0.072
73379,0.083
73380,0.056
73381,0.098
73382,0.098
73383,0.19
73384,0.181
73385,0.067
73386,0.129
73387,0.082
73388,0.092
73389,0.08
73390,0.048
73391,0.023
73392,0.096
73393,0.015
73394,0.115
73395,0.045
73396,0.131
73397,0.089
73398,0.087
73399,0.06
73400,0.179
73401,0.031
73402,0.08
73403,0.095
73404,0.223
73405,0.214
73406,0.025
73407,0.829
